id_ligne;agency_id;route_short_name;route_long_name;route_type;id_ligne_num;mode;id_ag_num_debut;id_ag_num_terminus;Origin;Destination
301;34;301;LONS - DOLE TGV - EXPRESS;3;1;bus;10088;10067;LONS GARE SNCF;GARE ROUTIERE
303;34;303;BOURG - LONS;3;2;bus;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL
306;34;306;HAUTS DE BIENNE - BOIS AMONT;3;3;bus;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER
307;34;307;SAINT-CLAUDE  - LONS LE SAUNIER;3;4;bus;10172;10088;GARE SNCF;LONS GARE SNCF
309;34;309;LONS LE SAUNIER - MOREZ;3;5;bus;10116;10088;MOREZ GARE S.N.C.F.;LONS GARE SNCF
312;34;312;ARBOIS-MOUCHARD-DOLE;3;6;bus;10010;10067;LA FOULE;GARE ROUTIERE
313;34;313;SALINS-CHAMPAGNOLE-SALINS-LES-BAINS;3;7;bus;10182;10038;LYCEE;LYCEE P. E. VICTOR
314;34;314;MOUCHARD - SALINS LES BAINS;3;8;bus;10120;10220;GARE S.N.C.F.;SALINES
315;34;315;CHAMPAGNOLE - LONS LE SAUNIER;3;9;bus;10037;10088;GARE S.N.C.F.;LONS GARE SNCF
317;34;317;CHAUSSIN - LONS LE SAUNIER;3;10;bus;10046;10088;GENDARMERIE;LONS GARE SNCF
318;34;318;PIERRE DE BRESSE - DOLE;3;11;bus;10216;10067;CHATEAU D'EAU;GARE ROUTIERE
320;34;320;POLIGNY - DOLE;3;12;bus;10144;10067;CHAMP DE FOIRE;GARE ROUTIERE
305;34;305;SAINT-CLAUDE -  MIJOUX;3;13;bus;10172;10003;GARE SNCF;VILLAGE
300;34;300;LONS LE SAUNIER - DIJON;3;14;bus;10088;10240;LONS GARE SNCF;REPUBLIQUE
